article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;number_internal_references;complexity_with_references;clump_size
CRD_1;3;1;18;-44,5632926829268;0;3;1
CRD_2;20;11;110;10,043423539518955;4;1,7787399218523786e+17;1
CRD_3;45;8;248;-213,76016477272728;6;5,390120975310237e+16;339
CRD_4;34;23;122;30,917522206018845;0;34;1
CRD_5;2;1;16;-9,310000000000002;0;2;1
CRD_6;28;9;64;-68,43603448275859;1;65,4;1
CRD_7;4;2;13;3,380000000000024;0;4;1
CRD_8;16;11;73;34,43575098814233;5;1,7787399218523786e+17;1
CRD_9;5;3;40;25,109762396694236;0;5;1
CRD_10;4;2;12;-9,840263157894697;0;4;1
CRD_11;3;2;10;29,180000000000007;0;3;1
CRD_12;10;8;43;45,047159833630445;2;5,390120975310237e+16;339
CRD_13;7;5;38;41,317430656934334;1;5,390120975310237e+16;339
CRD_14;33;19;133;16,669529025191707;3;5,390120975310237e+16;339
CRD_15;7;4;29;8,667500000000018;0;7;1
CRD_16;29;15;91;4,125;0;29;1
CRD_17;11;7;32;28,948750000000018;13;8,182203640520943e+17;1
CRD_18;8;2;66;-118,05558659217871;3;5,390120975310237e+16;339
CRD_19;2;1;17;16,553598901098923;0;2;1
CRD_20;11;8;72;36,13834563758391;5;4,328267143174121e+17;1
CRD_21;9;7;39;46,89158602150539;19;1,5700344376883668e+18;1
CRD_22;57;40;265;34,80214285714288;2;5,390120975310237e+16;339
CRD_23;32;18;165;13,152099737532836;2;5,390120975310237e+16;339
CRD_24;18;9;83;-2,174967532467491;0;18;1
CRD_25;10;6;51;24,01180048661803;0;10;1
CRD_26;22;13;91;16,218484848484877;10;5,390120975310237e+16;339
CRD_27;4;2;43;12,582916666666705;4;1,7787399218523782e+17;1
CRD_28;2;2;12;71,0519827586207;2;5,390120975310237e+16;339
CRD_29;13;9;71;33,565921391752596;4;5,390120975310237e+16;339
CRD_30;6;4;13;32,75769230769234;0;6;1
CRD_31;9;5;72;11,957119402985086;1;5,390120975310237e+16;339
CRD_32;16;15;154;55,420803212851425;3;1,1858266145682523e+17;1
CRD_33;11;5;32;-14,801999999999964;10;5,390120975310237e+16;339
CRD_34;37;19;126;1,8938043478261193;11;5,390120975310237e+16;339
CRD_35;30;21;137;34,17590894413951;2;5,390120975310237e+16;339
CRD_36;18;14;113;44,25079376328844;4;5,390120975310237e+16;339
CRD_37;1;1;12;40,784285714285716;2;1,1858266145682522e+17;1
CRD_38;1;1;8;46,06863636363636;0;1;1
CRD_39;12;9;76;43,055135285913536;0;12;1
CRD_40;17;10;54;16,38569672131149;2;5,390120975310237e+16;339
CRD_41;11;7;74;22,179577922077954;1;41,800000000000004;1
CRD_42;12;6;21;1,9797826086956718;2;118,45800000000003;1
CRD_43;9;6;95;32,29480392156864;1;54,98000000000001;1
CRD_44;7;4;22;16,085405405405425;2;5,390120975310237e+16;339
CRD_45;6;3;19;6,703636363636377;0;6;1
CRD_46;3;2;14;28,335000000000036;0;3;1
CRD_47;6;4;33;33,79694063926945;0;6;1
CRD_48;7;4;73;8,05059523809524;0;7;1
CRD_49;10;7;35;38,50986760124613;2;1,1858266145682522e+17;1
CRD_50;28;18;200;26,09314743202421;0;28;1
CRD_51;61;40;288;28,86097663551402;14;5,390120975310237e+16;339
CRD_52;15;10;86;32,9187721238938;3;5,390120975310237e+16;339
CRD_53;17;11;89;27,840443659206926;1;5,390120975310237e+16;339
CRD_54;7;2;35;-91,93614173228343;2;5,390120975310237e+16;339
CRD_55;6;3;62;5,9797619047619435;3;3,9221215276844954e+17;2
CRD_56;10;4;70;-35,02642857142854;3;1,7787399218523782e+17;1
CRD_57;15;9;159;19,992948439846515;4;3,9221215276844954e+17;2
CRD_58;26;14;118;7,278056356067907;4;5,390120975310237e+16;339
CRD_59;19;10;104;3,707003205128217;3;5,390120975310237e+16;339
CRD_60;7;3;28;-17,785882352941158;4;3,735353835889995e+17;1
CRD_61;13;8;51;25,557127516778536;3;5,5001602950211974e+17;1
CRD_62;1;1;17;31,759336734693903;0;1;1
CRD_63;24;13;121;9,964322033898327;0;24;1
CRD_64;11;6;44;14,235000000000014;4;5,390120975310237e+16;339
CRD_65;56;27;168;-3,992322580645151;1;5,390120975310237e+16;339
CRD_66;29;10;154;-51,84023552123547;4;5,390120975310237e+16;339
CRD_67;73;19;231;-110,01223444976071;23;5,390120975310237e+16;339
CRD_68;26;16;115;20,836567796610183;0;26;1
CRD_69;25;16;92;28,003023415977964;9;5,390120975310237e+16;339
CRD_70;35;8;85;-143,82790575916226;0;35;1
CRD_71;17;10;84;20,489772727272737;0;17;1
CRD_72;10;6;25;21,22137681159424;0;10;1
CRD_73;5;3;27;16,154810996563583;0;5;1
CRD_74;27;15;146;13,119850746268668;20;5,390120975310237e+16;339
CRD_75;21;14;85;29,64527472527476;5;2,371653229136505e+17;1
CRD_76;82;51;251;23,94574257425745;0;82;1
CRD_77;18;11;105;22,673844383057116;0;18;1
CRD_78;52;33;227;24,77540149393093;0;52;1
CRD_79;28;11;74;-32,903965517241346;0;28;1
CRD_80;6;3;11;4,652972972972975;0;6;1
CRD_81;9;3;27;-50,40831168831167;0;9;1
CRD_82;16;8;38;-1,395730198019777;0;16;1
CRD_83;17;12;74;34,80848659003834;1;25,8;1
CRD_84;6;3;13;-9,065945945945913;0;6;1
CRD_85;14;8;29;11,612506024096405;0;14;1
CRD_86;104;58;298;11,985761909769735;0;104;1
CRD_87;14;9;47;28,713333333333367;1;5,390120975310237e+16;339
CRD_88;59;28;203;-5,6506249999999625;1;72,2;1
