article;weighted_regulatory_operators;unweighted_regulatory_operators;operators_total;fres;sentences;words;syllables;words_per_sentence;syllables_per_word;number_internal_references;complexity_with_references;clump_size
CRD_1;2;1;15;2,3884615384615415;2;78;152;39,0;1,9487179487179487;0;2;1
CRD_2;15;7;106;-9,774551971326133;9;496;942;55,111111111111114;1,8991935483870968;1;2,443139982436772e+22;1
CRD_3;83;17;329;-173,6172064056939;7;1686;2710;240,85714285714286;1,6073546856465006;7;2,2210363476697925e+22;475
CRD_4;37;25;132;31,855466824644566;20;422;766;21,1;1,8151658767772512;0;37;1
CRD_5;2;1;16;11,998040540540558;2;37;77;18,5;2,081081081081081;0;2;1
CRD_6;28;9;65;-68,43603448275859;2;232;432;116,0;1,8620689655172413;1;68,7;1
CRD_7;4;2;13;3,380000000000024;2;80;154;40,0;1,925;0;4;1
CRD_8;20;14;96;34,21913763066203;14;287;515;20,5;1,7944250871080138;5;2,2210363476697925e+22;475
CRD_8a;21;14;142;30,072538057742833;15;508;855;33,86666666666667;1,6830708661417322;3;7,329419947310315e+22;1
CRD_9;8;6;58;38,26224043715851;9;183;320;20,333333333333332;1,7486338797814207;0;8;1
CRD_10;11;6;37;11,449125683060146;6;122;252;20,333333333333332;2,0655737704918034;1;2,2210363476697925e+22;475
CRD_11;3;2;10;29,180000000000007;1;25;45;25,0;1,8;0;3;1
CRD_12;10;8;43;45,047159833630445;9;187;311;20,77777777777778;1,6631016042780749;2;2,2210363476697925e+22;475
CRD_13;7;5;38;41,317430656934334;5;137;223;27,4;1,6277372262773722;1;2,2210363476697925e+22;475
CRD_14;33;19;131;16,93798591239272;11;413;741;37,54545454545455;1,7941888619854722;3;2,2210363476697925e+22;475
CRD_15;7;4;29;8,667500000000018;2;80;149;40,0;1,8625;0;7;1
CRD_16;29;15;89;4,125;7;270;522;38,57142857142857;1,9333333333333333;0;29;1
CRD_17;11;7;32;28,948750000000018;2;64;110;32,0;1,71875;13;2,834042379626655e+23;1
CRD_18;15;3;83;-175,29749999999996;1;240;393;240,0;1,6375;6;2,2210363476697925e+22;475
CRD_19;2;1;17;16,553598901098923;2;91;155;45,5;1,7032967032967032;0;2;1
CRD_20;14;11;92;44,98538461538462;13;208;358;16,0;1,7211538461538463;6;1,4658839894620632e+23;1
CRD_21;8;7;39;50,89698198198201;6;148;229;24,666666666666668;1,5472972972972974;19;5,5850179998504614e+23;1
CRD_21a;209;108;627;3,7551307833412864;41;1795;3366;43,78048780487805;1,875208913649025;11;2,2210363476697925e+22;475
CRD_21b;64;41;257;26,000384615384633;26;900;1550;34,61538461538461;1,7222222222222223;2;2,2210363476697925e+22;475
CRD_22;55;39;265;35,024720670391076;29;716;1242;24,689655172413794;1,73463687150838;2;2,2210363476697925e+22;475
CRD_23;32;18;167;13,97285714285718;12;504;895;42,0;1,7757936507936507;2;2,2210363476697925e+22;475
CRD_24;18;9;83;-2,376811594202877;6;230;463;38,333333333333336;2,0130434782608697;0;18;1
CRD_25;10;6;51;24,01180048661803;3;137;221;45,666666666666664;1,6131386861313868;0;10;1
CRD_26;22;13;91;16,218484848484877;7;297;518;42,42857142857143;1,7441077441077442;10;2,2210363476697925e+22;475
CRD_27;4;2;44;7,937413793103474;3;174;288;58,0;1,6551724137931034;4;7,329419947310315e+22;1
CRD_33;11;5;32;-14,801999999999964;1;75;129;75,0;1,72;10;2,2210363476697925e+22;475
CRD_34;37;19;126;1,8938043478261193;8;460;797;57,5;1,732608695652174;11;2,2210363476697925e+22;475
CRD_35;30;21;137;34,17590894413951;19;489;847;25,736842105263158;1,7321063394683027;2;2,2210363476697925e+22;475
CRD_36;18;14;113;44,25079376328844;17;415;676;24,41176470588235;1,6289156626506025;4;2,2210363476697925e+22;475
CRD_37;1;1;12;40,784285714285716;1;35;54;35,0;1,542857142857143;2;4,886279964873544e+22;1
CRD_38;1;1;8;46,06863636363636;2;44;72;22,0;1,6363636363636365;0;1;1
CRD_39;12;9;76;43,055135285913536;15;239;417;15,933333333333334;1,7447698744769875;0;12;1
CRD_40;17;10;54;16,38569672131149;4;122;230;30,5;1,8852459016393444;2;2,2210363476697925e+22;475
CRD_41;11;7;74;22,523828883495156;8;309;530;38,625;1,715210355987055;1;41,800000000000004;1
CRD_42;12;6;21;1,9797826086956718;1;46;86;46,0;1,8695652173913044;2;118,45800000000003;1
CRD_43;9;6;95;32,29480392156864;15;340;609;22,666666666666668;1,7911764705882354;1;54,98000000000001;1
CRD_44;7;4;22;16,085405405405425;2;74;134;37,0;1,8108108108108107;2;2,2210363476697925e+22;475
CRD_45;6;3;19;6,703636363636377;2;66;130;33,0;1,9696969696969697;0;6;1
CRD_46;3;2;14;28,335000000000036;2;60;105;30,0;1,75;0;3;1
CRD_47;28;16;111;14,369676925845965;12;463;839;38,583333333333336;1,812095032397408;1;2,443139982436772e+22;1
CRD_48;7;4;73;8,05059523809524;9;336;639;37,333333333333336;1,9017857142857142;0;7;1
CRD_49;10;7;35;38,50986760124613;6;107;190;17,833333333333332;1,7757009345794392;2;4,886279964873544e+22;1
CRD_50;28;18;201;26,09314743202421;25;662;1204;26,48;1,8187311178247734;0;28;1
CRD_51;62;41;285;29,06183473832104;30;949;1634;31,633333333333333;1,7218124341412013;13;2,2210363476697925e+22;475
CRD_52;15;10;86;32,9187721238938;12;339;582;28,25;1,7168141592920354;3;2,2210363476697925e+22;475
CRD_53;17;11;92;27,123333333333363;9;312;533;34,666666666666664;1,7083333333333333;1;2,2210363476697925e+22;475
CRD_54;5;2;36;-26,6640625;2;128;255;64,0;1,9921875;2;2,2210363476697925e+22;475
CRD_54a;1;1;6;50,470769230769264;2;26;44;13,0;1,6923076923076923;2;4,886279964873544e+22;1
CRD_55;6;3;62;5,9797619047619435;3;140;254;46,666666666666664;1,8142857142857143;3;1,6161370983819248e+23;2
CRD_56;11;4;85;-49,995030750307464;3;271;529;90,33333333333333;1,952029520295203;3;7,329419947310315e+22;1
CRD_57;18;11;161;21,039524356240804;13;469;827;36,07692307692308;1,763326226012793;4;1,6161370983819248e+23;2
CRD_58;25;14;118;11,907775071633267;10;349;658;34,9;1,8853868194842407;4;2,2210363476697925e+22;475
CRD_58a;13;8;98;19,83571428571429;9;315;564;35,0;1,7904761904761906;2;4,886279964873544e+22;1
CRD_59;19;10;104;3,707003205128217;8;351;658;43,875;1,8746438746438747;3;2,2210363476697925e+22;475
CRD_60;7;3;28;-17,785882352941158;1;85;139;85,0;1,6352941176470588;4;1,5391781889351662e+23;1
CRD_61;12;8;51;26,36100000000002;5;150;266;30,0;1,7733333333333334;3;2,2663788047074718e+23;1
CRD_62;1;1;17;31,759336734693903;2;49;87;24,5;1,7755102040816326;0;1;1
CRD_63;27;15;130;12,476491368286446;8;391;669;48,875;1,710997442455243;0;27;1
CRD_64;9;6;52;29,604545454545473;7;165;299;23,571428571428573;1,812121212121212;5;2,2210363476697925e+22;475
CRD_65;56;27;169;-4,167645421903018;10;557;1017;55,7;1,8258527827648114;1;2,2210363476697925e+22;475
CRD_66;39;13;176;-61,99461749571182;5;583;1037;116,6;1,7787307032590052;6;2,2210363476697925e+22;475
CRD_67;97;24;249;-123,66730769230767;5;910;1568;182,0;1,7230769230769232;22;2,2210363476697925e+22;475
CRD_68;26;16;114;20,836567796610183;12;354;653;29,5;1,844632768361582;0;26;1
CRD_69;25;16;92;28,003023415977964;12;242;453;20,166666666666668;1,871900826446281;9;2,2210363476697925e+22;475
CRD_70;35;8;85;-143,82790575916226;1;191;354;191,0;1,8534031413612566;0;35;1
CRD_71;16;10;83;21,07978789592761;8;221;412;27,625;1,8642533936651584;0;16;1
