"","V1","V2"
"751","as the case may be","LogicalConnectors"
"790","in such a way as","LogicalConnectors"
"995","to the same extent as","LogicalConnectors"
"1037","as a result of","LogicalConnectors"
"1041","at the end of","LogicalConnectors"
"1043","at the time of","LogicalConnectors"
"1094","for the purpose of","LogicalConnectors"
"1109","in any other way","LogicalConnectors"
"1110","in any such case","LogicalConnectors"
"1113","in the case of","LogicalConnectors"
"1115","in the event of","LogicalConnectors"
"1116","in the event that","LogicalConnectors"
"1119","in the same manner","LogicalConnectors"
"1132","on the ground that","LogicalConnectors"
"1457","the end of the","MathematicalOperators"
"1458","the extent to which","LogicalConnectors"
"1469","the manner in which","LogicalConnectors"
"1476","to the extent that","LogicalConnectors"
"1511","a variety of","LogicalConnectors"
"1513","acting in concert","RegulatoryOperators"
"1528","as a result","LogicalConnectors"
"1529","as long as","LogicalConnectors"
"1530","as opposed to","LogicalConnectors"
"1531","as soon as","LogicalConnectors"
"1532","as well as","LogicalConnectors"
"1534","at the end","LogicalConnectors"
"1566","commonly known a","LogicalConnectors"
"1629","for any reason","LogicalConnectors"
"1646","in a manner","LogicalConnectors"
"1648","in accordance with","LogicalConnectors"
"1649","in addition to","LogicalConnectors"
"1650","in any case","LogicalConnectors"
"1651","in conformance with","RegulatoryOperators"
"1652","in conformity with","RegulatoryOperators"
"1654","in connection therewith","LogicalConnectors"
"1657","in every case","LogicalConnectors"
"1658","in excess of","LogicalConnectors"
"1659","in lieu of","LogicalConnectors"
"1662","in no case","LogicalConnectors"
"1663","in no instance","LogicalConnectors"
"1664","in order to","LogicalConnectors"
"1665","in proportion to","LogicalConnectors"
"1666","in relation to","LogicalConnectors"
"1667","in the alternative","LogicalConnectors"
"1668","in the case","LogicalConnectors"
"1670","in the place","LogicalConnectors"
"1671","in which case","LogicalConnectors"
"1705","le frequently than","MathematicalOperators"
"1736","not later than","LogicalConnectors"
"1743","of any kind","LogicalConnectors"
"1745","on the date","LogicalConnectors"
"1746","on the day","LogicalConnectors"
"1748","or at least","LogicalConnectors"
"1811","same meaning as","LogicalConnectors"
"2079","so as to","LogicalConnectors"
"2080","so far a","LogicalConnectors"
"2081","so long as","LogicalConnectors"
"2155","the amount of","MathematicalOperators"
"2160","the number of","MathematicalOperators"
"2161","the same meaning","LogicalConnectors"
"2166","to read a","RegulatoryOperators"
"2167","to the extent","LogicalConnectors"
"2193","with reference to","LogicalConnectors"
"2194","with regard to","LogicalConnectors"
"2196","with respect to","LogicalConnectors"
"2198","without regard to","LogicalConnectors"
"2410","apart from","LogicalConnectors"
"2418","as for","LogicalConnectors"
"2425","at first","LogicalConnectors"
"2426","at least","LogicalConnectors"
"2462","because of","LogicalConnectors"
"2505","characterized by","LogicalConnectors"
"2539","compared to","LogicalConnectors"
"2543","complies with","RegulatoryOperators"
"2544","complying with","RegulatoryOperators"
"2545","comprised of","LogicalConnectors"
"2551","conditioned on","LogicalConnectors"
"2553","conferring authority","RegulatoryOperators"
"2612","depending upon","LogicalConnectors"
"2622","different class","MathematicalOperators"
"2623","differentiated from","LogicalConnectors"
"2636","due to","LogicalConnectors"
"2639","earlier of","LogicalConnectors"
"2640","earlier than","LogicalConnectors"
"2662","equal to","LogicalConnectors"
"2666","even if","LogicalConnectors"
"2667","even though","LogicalConnectors"
"2670","except a","LogicalConnectors"
"2700","fewer than","LogicalConnectors"
"2730","for example","LogicalConnectors"
"2758","greater than","LogicalConnectors"
"2787","i mean","LogicalConnectors"
"2788","if not","LogicalConnectors"
"2789","if so","LogicalConnectors"
"2796","in addition","LogicalConnectors"
"2797","in all","LogicalConnectors"
"2798","in case","LogicalConnectors"
"2800","in fact","LogicalConnectors"
"2802","in particular","LogicalConnectors"
"2803","in that","LogicalConnectors"
"2806","inconsistent with","LogicalConnectors"
"2816","insofar a","LogicalConnectors"
"2840","irrespective of","LogicalConnectors"
"2852","later than","LogicalConnectors"
"2855","le than","MathematicalOperators"
"2859","lesser than","LogicalConnectors"
"2861","limited to","LogicalConnectors"
"2869","longer than","LogicalConnectors"
"2910","more than","LogicalConnectors"
"2940","not only","LogicalConnectors"
"2948","only if","LogicalConnectors"
"3031","prior approval","RegulatoryOperators"
"3043","proportional to","LogicalConnectors"
"3052","provided that","LogicalConnectors"
"3055","providing that","LogicalConnectors"
"3064","pursuant thereto","LogicalConnectors"
"3074","reason for","LogicalConnectors"
"3086","regardless of","LogicalConnectors"
"3089","regulation for","RegulatoryOperators"
"3098","relates to","LogicalConnectors"
"3101","relative to","LogicalConnectors"
"3102","relevant to","LogicalConnectors"
"3132","rounded to","LogicalConnectors"
"3434","set forth","RegulatoryOperators"
"3448","so that","LogicalConnectors"
"3465","subject to","LogicalConnectors"
"3503","substantive difference","LogicalConnectors"
"3515","such a","LogicalConnectors"
"3526","take effect","RegulatoryOperators"
"3531","that is","LogicalConnectors"
"3564","to conclude","LogicalConnectors"
"3565","to resume","LogicalConnectors"
"3566","together with","LogicalConnectors"
"3720","with emphasis","LogicalConnectors"
"4092","abolished","RegulatoryOperators"
"4093","abolishment","RegulatoryOperators"
"4099","absolute","MathematicalOperators"
"4126","according","LogicalConnectors"
"4127","accordingly","LogicalConnectors"
"4174","actually","LogicalConnectors"
"4176","add","RegulatoryOperators"
"4177","added","MathematicalOperators"
"4178","adding","MathematicalOperators"
"4179","addition","MathematicalOperators"
"4180","additional","MathematicalOperators"
"4181","additionally","LogicalConnectors"
"4259","after","LogicalConnectors"
"4288","all","LogicalConnectors"
"4300","allow","RegulatoryOperators"
"4301","allowable","RegulatoryOperators"
"4303","allowed","RegulatoryOperators"
"4304","allowing","RegulatoryOperators"
"4305","allows","RegulatoryOperators"
"4306","almost","LogicalConnectors"
"4307","alone","LogicalConnectors"
"4310","also","LogicalConnectors"
"4315","alternate","LogicalConnectors"
"4319","altogether","LogicalConnectors"
"4322","amended","RegulatoryOperators"
"4346","and","LogicalConnectors"
"4354","annul","RegulatoryOperators"
"4355","annulling","RegulatoryOperators"
"4376","any","LogicalConnectors"
"4377","anyone","LogicalConnectors"
"4378","anything","LogicalConnectors"
"4379","anywhere","LogicalConnectors"
"4422","approval","RegulatoryOperators"
"4423","approve","RegulatoryOperators"
"4425","approves","RegulatoryOperators"
"4426","approving","RegulatoryOperators"
"4428","approximately","LogicalConnectors"
"4454","as","LogicalConnectors"
"4484","assigned","RegulatoryOperators"
"4500","assumed","LogicalConnectors"
"4536","augment","MathematicalOperators"
"4539","authorised","RegulatoryOperators"
"4542","authorization","RegulatoryOperators"
"4543","authorize","RegulatoryOperators"
"4544","authorized","RegulatoryOperators"
"4545","authorizes","RegulatoryOperators"
"4546","authorizing","RegulatoryOperators"
"4553","average","MathematicalOperators"
"4554","averted","RegulatoryOperators"
"4603","because","LogicalConnectors"
"4608","before","LogicalConnectors"
"4610","beginning","LogicalConnectors"
"4660","both","LogicalConnectors"
"4672","briefly","LogicalConnectors"
"4698","but","LogicalConnectors"
"4720","cannot","RegulatoryOperators"
"4761","censure","RegulatoryOperators"
"4776","certiorari","RegulatoryOperators"
"4846","clearer","MathematicalOperators"
"4862","coerce","RegulatoryOperators"
"4863","coerces","RegulatoryOperators"
"4864","coercion","RegulatoryOperators"
"4976","comply","RegulatoryOperators"
"4984","computed","RegulatoryOperators"
"4995","concerning","LogicalConnectors"
"5007","conditional","LogicalConnectors"
"5008","conditionally","LogicalConnectors"
"5017","conferring","RegulatoryOperators"
"5018","confers","RegulatoryOperators"
"5028","conform","RegulatoryOperators"
"5031","conforms","RegulatoryOperators"
"5052","considering","LogicalConnectors"
"5068","constituting","LogicalConnectors"
"5241","cuomo","RegulatoryOperators"
"5295","declare","RegulatoryOperators"
"5300","decrease","MathematicalOperators"
"5304","deduct","LogicalConnectors"
"5305","deducted","MathematicalOperators"
"5306","deduction","MathematicalOperators"
"5308","deem","RegulatoryOperators"
"5309","deemed","RegulatoryOperators"
"5310","deems","RegulatoryOperators"
"5370","denominator","LogicalConnectors"
"5375","denying","RegulatoryOperators"
"5408","designated","RegulatoryOperators"
"5431","determine","RegulatoryOperators"
"5432","determined","RegulatoryOperators"
